year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,7,10328755.0,47.0,67.0,-2.0,38.0
2024,7,10328756.0,39.0,25.0,34.0,34.0
2024,7,10328760.0,34.0,29.0,3.0,42.0
2024,7,31002002.0,34.0,22.0,26.0,24.0
2024,7,31002004.0,25.0,30.0,28.0,18.0
2024,7,31002005.0,10.0,5.0,31.0,17.0
2024,7,31003000.0,32.0,24.0,18.0,35.0
2024,7,31003003.0,25.0,21.0,42.0,29.0
2024,7,31005000.0,21.0,27.0,30.0,11.0
2024,7,31005002.0,5.0,2.0,55.0,5.0
2024,7,31008000.0,50.0,56.0,21.0,53.0
2024,7,31008002.0,0.0,0.0,15.0,8.0
2024,7,31008004.0,63.0,43.0,25.0,58.0
2024,7,31008006.0,0.0,0.0,36.0,-5.0
2024,7,31010000.0,59.0,61.0,25.0,56.0
2024,7,31012000.0,0.0,0.0,22.0,-4.0
2024,7,31012002.0,39.0,29.0,17.0,44.0
2024,7,31013000.0,32.0,18.0,17.0,40.0
2024,7,33002000.0,47.0,33.0,36.0,47.0
2024,7,33002004.0,27.0,17.0,34.0,28.0
2024,7,33002008.0,0.0,0.0,6.0,-5.0
2024,7,33002009.0,1.0,0.0,27.0,7.0
2024,7,33006002.0,0.0,0.0,55.0,0.0
2024,7,33006003.0,0.0,0.0,3.0,-9.0
2024,7,33007000.0,71.0,53.0,3.0,81.0
2024,7,33007002.0,2.0,2.0,27.0,11.0
2024,7,33007004.0,1.0,0.0,49.0,10.0
2024,7,33007006.0,30.0,20.0,37.0,40.0
2024,7,35002000.0,21.0,24.0,44.0,11.0
2024,7,35002002.0,0.0,0.0,32.0,-1.0
2024,7,35003000.0,39.0,39.0,31.0,38.0
2024,7,35003001.0,25.0,24.0,53.0,33.0
2024,7,35003003.0,42.0,32.0,35.0,33.0
2024,7,35004000.0,2.0,0.0,33.0,8.0
2024,7,35006000.0,51.0,56.0,36.0,51.0
2024,7,35006002.0,54.0,50.0,33.0,46.0
2024,7,35007000.0,17.0,12.0,18.0,13.0
2024,7,35008000.0,18.0,11.0,35.0,24.0
2024,7,35009000.0,23.0,24.0,33.0,24.0
2024,7,37005000.0,39.0,27.0,33.0,33.0
2024,7,37006000.0,65.0,54.0,73.0,55.0
2024,7,37006001.0,16.0,6.0,-3.0,23.0
2024,7,37007000.0,16.0,7.0,53.0,24.0
2024,7,37008000.0,34.0,27.0,3.0,39.0
2024,7,37009000.0,29.0,42.0,61.0,25.0
2024,7,39001010.0,22.0,14.0,-4.0,22.0
2024,7,39001012.0,21.0,11.0,34.0,30.0
2024,7,39001014.0,12.0,5.0,27.0,8.0
2024,7,39001020.0,15.0,6.0,46.0,17.0
2024,7,39002000.0,33.0,24.0,28.0,32.0
2024,7,39002002.0,30.0,24.0,3.0,31.0
2024,7,39002005.0,19.0,12.0,1.0,16.0
2024,7,39002010.0,19.0,18.0,3.0,10.0
2024,7,39008000.0,5.0,2.0,9.0,9.0
